Player,Pos,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Marco Benassi,DF,2,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09
Marco Benassi,MF,15,11,997,11.1,0,0,0,0,0,0,1,0,1.3,1.3,0.4,1.7,10.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.16
Iker Benito,"FW,MF",4,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,9.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14
Ismaël Bennacer,MF,28,24,2007,22.3,2,2,4,2,0,0,5,0,1.0,1.0,3.3,4.3,30.0,132.0,52.0,0.09,0.09,0.18,0.09,0.18,0.04,0.15,0.19,0.04,0.19
Saïd Benrahma,"FW,MF",35,22,2069,23.0,6,3,9,2,4,4,0,0,7.0,3.9,4.5,8.4,109.0,82.0,237.0,0.26,0.13,0.39,0.09,0.22,0.31,0.2,0.5,0.17,0.36
Ramy Bensebaini,DF,28,28,2481,27.6,6,1,7,4,2,2,7,1,5.3,3.7,2.3,6.0,40.0,101.0,98.0,0.22,0.04,0.25,0.15,0.18,0.19,0.08,0.28,0.13,0.22
Nabil Bentaleb,MF,29,28,2399,26.7,4,4,8,2,2,2,7,1,3.1,1.5,2.2,3.7,44.0,168.0,24.0,0.15,0.15,0.3,0.08,0.23,0.12,0.08,0.2,0.06,0.14
Rodrigo Bentancur,MF,18,17,1500,16.7,5,2,7,5,0,0,8,0,2.2,2.2,0.8,3.1,26.0,76.0,19.0,0.3,0.12,0.42,0.3,0.42,0.13,0.05,0.18,0.13,0.18
Daniel Bentley,GK,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karim Benzema,FW,23,23,1965,21.8,18,3,21,12,6,7,1,0,20.5,14.7,5.8,20.5,71.0,133.0,152.0,0.82,0.14,0.96,0.55,0.69,0.94,0.27,1.21,0.68,0.94
Domenico Berardi,FW,25,21,1783,19.8,11,7,18,5,6,7,6,0,10.5,5.0,6.6,11.6,54.0,110.0,207.0,0.56,0.35,0.91,0.25,0.61,0.53,0.34,0.87,0.25,0.59
Yuri Berchiche,DF,28,26,2316,25.7,1,1,2,1,0,0,8,1,1.3,1.3,1.3,2.6,58.0,174.0,92.0,0.04,0.04,0.08,0.04,0.08,0.05,0.05,0.1,0.05,0.1
Álex Berenguer,FW,36,26,2270,25.2,4,1,5,4,0,0,2,0,4.2,4.2,4.6,8.9,71.0,75.0,246.0,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35
Bartosz Bereszyński,DF,15,15,1198,13.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,20.0,44.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Bartosz Bereszyński,DF,2,2,151,1.7,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,8.0,7.0,7.0,0.0,0.6,0.6,0.0,0.6,0.0,0.11,0.11,0.0,0.11
Patrick Berg,"MF,FW",3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17
Mitchell van Bergen,"FW,DF",28,6,905,10.1,0,1,1,0,0,0,1,0,2.2,2.2,2.7,4.8,51.0,21.0,89.0,0.0,0.1,0.1,0.0,0.1,0.22,0.26,0.48,0.22,0.48
Mergim Berisha,FW,23,20,1679,18.7,9,4,13,6,3,4,9,1,8.1,5.0,2.7,7.6,20.0,28.0,99.0,0.48,0.21,0.7,0.32,0.54,0.43,0.14,0.58,0.27,0.41
Quentin Bernard,DF,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,4.0,27.0,14.0,0.0,0.14,0.14,0.0,0.14,0.0,0.08,0.08,0.0,0.08
Paul Bernardoni,GK,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Bernat,"DF,MF",28,18,1648,18.3,1,4,5,1,0,0,1,0,0.9,0.9,3.1,3.9,24.0,38.0,143.0,0.05,0.22,0.27,0.05,0.27,0.05,0.17,0.21,0.05,0.21
Victor Bernth Kristiansen,DF,12,11,892,9.9,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,17.0,31.0,24.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.1,0.01,0.1
Jason Berthomier,MF,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beto,FW,32,22,2050,22.8,10,1,11,9,1,1,2,0,10.6,9.8,2.6,12.3,23.0,12.0,120.0,0.44,0.04,0.48,0.4,0.44,0.46,0.11,0.58,0.43,0.54
Owen Bevan,DF,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matteo Bianchetti,DF,24,22,2053,22.8,1,0,1,1,0,0,5,0,0.8,0.8,0.5,1.2,6.0,45.0,4.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
Alessandro Bianco,MF,6,2,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Giulian Biancone,DF,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ermin Bičakčić,DF,9,0,265,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Pedro Bigas,DF,28,25,2020,22.4,0,0,0,0,0,0,4,2,1.8,1.8,0.0,1.8,19.0,83.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
Jaka Bijol,DF,32,32,2728,30.3,3,2,5,3,0,0,10,0,2.2,2.2,1.6,3.9,3.0,66.0,7.0,0.1,0.07,0.16,0.1,0.16,0.07,0.05,0.13,0.07,0.13
El Bilal Touré,FW,20,14,1182,13.1,6,2,8,6,0,0,0,0,6.2,6.2,1.3,7.5,18.0,13.0,51.0,0.46,0.15,0.61,0.46,0.61,0.47,0.1,0.57,0.47,0.57
El Bilal Touré,FW,3,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.03,0.09
Philip Billing,"MF,FW",36,34,2764,30.7,7,1,8,7,0,0,5,0,4.9,4.9,3.2,8.1,37.0,80.0,101.0,0.23,0.03,0.26,0.23,0.26,0.16,0.1,0.26,0.16,0.26
Jean-Claude Billong,MF,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristiano Biraghi,DF,33,30,2551,28.3,2,4,6,2,0,1,1,0,1.8,1.1,5.5,6.6,69.0,161.0,113.0,0.07,0.14,0.21,0.07,0.21,0.07,0.19,0.26,0.04,0.23
Samuele Birindelli,DF,30,14,1378,15.3,0,1,1,0,0,0,8,0,1.1,1.1,2.2,3.3,55.0,41.0,118.0,0.0,0.07,0.07,0.0,0.07,0.07,0.14,0.22,0.07,0.22
Veljko Birmančević,"FW,MF",24,1,385,4.3,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,18.0,14.0,44.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.19,0.14,0.19
Tom Bischof,"MF,FW",11,3,315,3.5,0,0,0,0,0,0,0,0,1.0,1.0,0.7,1.8,8.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.29,0.21,0.5,0.29,0.5
Yves Bissouma,MF,23,10,1010,11.2,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.7,14.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06
Kristijan Bistrović,MF,11,5,461,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,4.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14
Leonardo Bittencourt,"MF,DF",25,22,1629,18.1,3,2,5,3,0,0,10,0,1.4,1.4,2.7,4.0,51.0,74.0,93.0,0.17,0.11,0.28,0.17,0.28,0.08,0.15,0.22,0.08,0.22
Marco Bizot,GK,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanco,MF,3,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
